LEA Code,LEA Name,School Code,School Name,Total Unaudited Enrollment (Including Non-Public Enrollment),Total Audited Enrollments (Including Non-Public Enrollment),Students included in UPSFF,Tuition paying non-resident students,Unverified resident students,Audited Non-Public Enrollment,Unverified resident students - Non-Public
116,E.L. Haynes PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
117,Eagle Academy PCS,1125,Eagle Academy PCS - Capitol Riverfront,128,128,128,0,0,0,0
117,Eagle Academy PCS,195,Eagle Academy PCS - Congress Heights,286,284,284,0,0,0,0
117,Eagle Academy PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
118,Early Childhood Academy PCS,138,Early Childhood Academy PCS,250,250,250,0,0,0,0
119,Briya PCS,126,Briya PCS,781,760,760,0,0,0,0
120,Friendship PCS,1369,Acadia Healthcare Millcreek of Arkansas  Fordyce AR,1,1,0,0,0,1,0
120,Friendship PCS,1049,Accotink Academy Therapeutic Day School,5,5,0,0,0,5,0
120,Friendship PCS,1050,Chelsea School,1,1,0,0,0,1,0
120,Friendship PCS,1020,Childrens Guild Prince Georges Chillum MD,1,1,0,0,0,1,0
120,Friendship PCS,1216,Devereux Georgia Treatment Network Kennesaw GA,1,1,0,0,0,1,0
120,Friendship PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
120,Friendship PCS,269,Friendship PCS - Armstrong Elementary,252,252,252,0,0,0,0
120,Friendship PCS,1140,Friendship PCS - Armstrong Middle,210,208,208,0,0,0,0
120,Friendship PCS,361,Friendship PCS - Blow Pierce Elementary,285,285,285,0,0,0,0
120,Friendship PCS,362,Friendship PCS - Blow Pierce Middle,245,245,245,0,0,0,0
120,Friendship PCS,363,Friendship PCS - Chamberlain Elementary,296,296,296,0,0,0,0
120,Friendship PCS,364,Friendship PCS - Chamberlain Middle,311,311,311,0,0,0,0
120,Friendship PCS,186,Friendship PCS - Collegiate Academy,662,661,661,0,0,0,0
120,Friendship PCS,1083,Friendship PCS - Ideal Elementary,216,216,216,0,0,0,0
120,Friendship PCS,1084,Friendship PCS - Ideal Middle,182,182,182,0,0,0,0
120,Friendship PCS,268,Friendship PCS - Online Academy,443,435,435,0,0,0,0
120,Friendship PCS,113,Friendship PCS - Southeast Elementary,365,365,365,0,0,0,0
120,Friendship PCS,1057,Friendship PCS - Southeast Middle,329,329,329,0,0,0,0
120,Friendship PCS,1164,Friendship PCS - Technology Preparatory High School,357,357,357,0,0,0,0
120,Friendship PCS,365,Friendship PCS - Woodridge International Elementary,251,250,250,0,0,0,0
120,Friendship PCS,366,Friendship PCS - Woodridge International Middle,217,217,217,0,0,0,0
120,Friendship PCS,1092,HRMD High Road Academy of Howard County,1,1,0,0,0,1,0
120,Friendship PCS,3062,High Road of Maryland Upper School Prince George's County,2,2,0,0,0,2,0
120,Friendship PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
120,Friendship PCS,1168,Kennedy Krieger Fairmont Campus Baltimore MD,1,1,0,0,0,1,0
120,Friendship PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
120,Friendship PCS,1066,Lt. Joseph P. Kennedy Institute,3,3,0,0,0,3,0
120,Friendship PCS,1183,New Beginnings Vocational Program DC,5,5,0,0,0,5,0
120,Friendship PCS,1012,Phillips School Annandale Annandale VA,2,2,0,0,0,2,0
120,Friendship PCS,3005,Sheppard Pratt School-Gaithersburg,1,1,0,0,0,1,0
120,Friendship PCS,3115,Sheppard Pratt School-Lanham,1,1,0,0,0,1,0
120,Friendship PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
121,Hope Community PCS,114,Hope Community PCS - Tolson,203,203,202,0,1,0,0
121,Hope Community PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
121,Hope Community PCS,1143,The Foundation Learning Center,1,1,0,0,0,1,0
123,Cedar Tree Academy PCS,188,Cedar Tree Academy PCS,463,463,463,0,0,0,0
124,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,284,284,284,0,0,0,0
125,Perry Street Preparatory PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
125,Perry Street Preparatory PCS,161,Perry Street Preparatory PCS,452,451,451,0,0,0,0
126,IDEA PCS,1049,Accotink Academy Therapeutic Day School,2,2,0,0,0,2,0
126,IDEA PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
126,IDEA PCS,163,IDEA PCS,309,307,307,0,0,0,0
126,IDEA PCS,1056,Kennedy Krieger Greenspring Campus Baltimore MD,1,1,0,0,0,1,0
126,IDEA PCS,1423,Liberty Point Behavioral Healthcare Staunton VA,1,1,0,0,0,1,0
126,IDEA PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
126,IDEA PCS,1183,New Beginnings Vocational Program DC,2,2,0,0,0,2,0
126,IDEA PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
126,IDEA PCS,1191,Ridge School of Montgomery County  Day Program Rockville MD,1,1,0,0,0,1,0
126,IDEA PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
126,IDEA PCS,1081,The Foundation School at PG County,2,2,0,0,0,2,0
126,IDEA PCS,1021,The Village Academy of Maryland,1,1,0,0,0,1,0
129,KIPP DC PCS,1049,Accotink Academy Therapeutic Day School,6,6,0,0,0,6,0
129,KIPP DC PCS,3062,High Road of Maryland Upper School Prince George's County,2,2,0,0,0,2,0
129,KIPP DC PCS,1051,Ivymount School Rockville MD,4,4,0,0,0,4,0
129,KIPP DC PCS,116,KIPP DC - AIM Academy PCS,443,441,441,0,0,0,0
129,KIPP DC PCS,236,KIPP DC - Arts and Technology Academy PCS,295,295,295,0,0,0,0
129,KIPP DC PCS,1123,KIPP DC - College Preparatory PCS,770,769,769,0,0,0,0
129,KIPP DC PCS,209,KIPP DC - Connect Academy PCS,288,287,287,0,0,0,0
129,KIPP DC PCS,1122,KIPP DC - Discover Academy PCS,332,329,329,0,0,0,0
129,KIPP DC PCS,1129,KIPP DC - Grow Academy PCS,262,262,261,1,0,0,0
129,KIPP DC PCS,3071,KIPP DC - Heights Academy PCS,471,469,469,0,0,0,0
129,KIPP DC PCS,1085,KIPP DC - Honor Academy PCS,321,321,321,0,0,0,0
129,KIPP DC PCS,1185,KIPP DC - Inspire Academy PCS,227,227,227,0,0,0,0
129,KIPP DC PCS,189,KIPP DC - KEY Academy PCS,396,395,395,0,0,0,0
129,KIPP DC PCS,132,KIPP DC - LEAP Academy PCS,227,227,226,0,1,0,0
129,KIPP DC PCS,190,KIPP DC - Lead Academy PCS,383,383,382,0,1,0,0
129,KIPP DC PCS,242,KIPP DC - Northeast Academy PCS,354,350,350,0,0,0,0
129,KIPP DC PCS,1177,KIPP DC - Pride Academy PCS,162,162,162,0,0,0,0
129,KIPP DC PCS,1121,KIPP DC - Promise Academy PCS,610,610,610,0,0,0,0
129,KIPP DC PCS,237,KIPP DC - Quest Academy PCS,385,385,385,0,0,0,0
129,KIPP DC PCS,214,KIPP DC - Spring Academy PCS,392,390,390,0,0,0,0
129,KIPP DC PCS,243,KIPP DC - Valor Academy PCS,347,344,344,0,0,0,0
129,KIPP DC PCS,121,KIPP DC - WILL Academy PCS,333,333,333,0,0,0,0
129,KIPP DC PCS,1086,KIPP DC PCS - Legacy College Preparatory PCS,382,382,382,0,0,0,0
129,KIPP DC PCS,1079,Katherine Thomas School Rockville MD,1,1,0,0,0,1,0
129,KIPP DC PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
129,KIPP DC PCS,1066,Lt. Joseph P. Kennedy Institute,4,4,0,0,0,4,0
129,KIPP DC PCS,1183,New Beginnings Vocational Program DC,2,2,0,0,0,2,0
129,KIPP DC PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,3,3,0,0,0,3,0
129,KIPP DC PCS,1159,Pathways Horizons,1,1,0,0,0,1,0
129,KIPP DC PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
129,KIPP DC PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
129,KIPP DC PCS,3115,Sheppard Pratt School-Lanham,1,1,0,0,0,1,0
129,KIPP DC PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
129,KIPP DC PCS,1143,The Foundation Learning Center,2,2,0,0,0,2,0
129,KIPP DC PCS,1081,The Foundation School at PG County,4,4,0,0,0,4,0
129,KIPP DC PCS,1021,The Village Academy of Maryland,3,3,0,0,0,2,1
130,Latin American Montessori Bilingual PCS,193,Latin American Montessori Bilingual PCS,553,553,552,0,1,0,0
131,YouthBuild DC PCS,128,YouthBuild DC PCS,127,125,125,0,0,0,0
132,Mary McLeod Bethune Day Academy PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
132,Mary McLeod Bethune Day Academy PCS,1020,Childrens Guild Prince Georges Chillum MD,3,3,0,0,0,3,0
132,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,311,314,314,0,0,0,0
133,Maya Angelou PCS,1220,Maya Angelou PCS - Academy at DC Jail,40,40,40,0,0,0,0
133,Maya Angelou PCS,101,Maya Angelou PCS - High School,212,212,212,0,0,0,0
133,Maya Angelou PCS,137,Maya Angelou PCS - Young Adult Learning Center,288,287,287,0,0,0,0
133,Maya Angelou PCS,1191,Ridge School of Montgomery County  Day Program Rockville MD,1,1,0,0,0,1,0
133,Maya Angelou PCS,1021,The Village Academy of Maryland,1,1,0,0,0,1,0
135,Meridian PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
135,Meridian PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
135,Meridian PCS,165,Meridian PCS,627,627,627,0,0,0,0
135,Meridian PCS,3033,Sheppard Pratt School-Rockville,1,1,0,0,0,1,0
138,Paul PCS,1049,Accotink Academy Therapeutic Day School,2,2,0,0,0,2,0
138,Paul PCS,1232,Grafton School Berryville,1,1,0,0,0,1,0
138,Paul PCS,3062,High Road of Maryland Upper School Prince George's County,1,1,0,0,0,1,0
138,Paul PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
138,Paul PCS,1079,Katherine Thomas School Rockville MD,1,1,0,0,0,1,0
138,Paul PCS,222,Paul PCS - International High School,419,419,419,0,0,0,0
138,Paul PCS,170,Paul PCS - Middle School,275,275,275,0,0,0,0
138,Paul PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
138,Paul PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
138,Paul PCS,1081,The Foundation School at PG County,3,3,0,0,0,3,0
140,Roots PCS,173,Roots PCS,89,89,88,0,1,0,0
142,SEED PCS,3062,High Road of Maryland Upper School Prince George's County,1,1,0,0,0,1,0
142,SEED PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
142,SEED PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,1,1,0,0,0,1,0
142,SEED PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
142,SEED PCS,174,The SEED PCS of Washington DC,250,248,247,0,1,0,0
142,SEED PCS,1021,The Village Academy of Maryland,1,1,0,0,0,1,0
143,St. Coletta Special Education PCS,1047,St. Coletta Special Education PCS,250,250,250,0,0,0,0
144,Elsie Whitlow Stokes Community Freedom PCS,159,Elsie Whitlow Stokes Community Freedom PCS - Brookland,355,355,355,0,0,0,0
144,Elsie Whitlow Stokes Community Freedom PCS,1059,Elsie Whitlow Stokes Community Freedom PCS - East End,318,318,318,0,0,0,0
144,Elsie Whitlow Stokes Community Freedom PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
145,The Next Step/El Proximo Paso PCS,168,The Next Step/El Proximo Paso PCS,476,475,474,0,1,0,0
146,Thurgood Marshall Academy PCS,1049,Accotink Academy Therapeutic Day School,2,2,0,0,0,2,0
146,Thurgood Marshall Academy PCS,1171,HRMD High Road Academy of Prince Georges County,1,1,0,0,0,1,0
146,Thurgood Marshall Academy PCS,191,Thurgood Marshall Academy PCS,323,318,318,0,0,0,0
149,Two Rivers PCS,1171,HRMD High Road Academy of Prince Georges County,1,1,0,0,0,1,0
149,Two Rivers PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
149,Two Rivers PCS,1079,Katherine Thomas School Rockville MD,1,1,0,0,0,1,0
149,Two Rivers PCS,1168,Kennedy Krieger Fairmont Campus Baltimore MD,1,1,0,0,0,1,0
149,Two Rivers PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
149,Two Rivers PCS,3115,Sheppard Pratt School-Lanham,1,1,0,0,0,1,0
149,Two Rivers PCS,1081,The Foundation School at PG County,1,1,0,0,0,1,0
149,Two Rivers PCS,198,Two Rivers PCS - 4th Street,399,399,399,0,0,0,0
149,Two Rivers PCS,270,Two Rivers PCS - Young Elementary School,377,377,377,0,0,0,0
149,Two Rivers PCS,1152,Two Rivers PCS - Young Middle School,276,276,276,0,0,0,0
151,Washington Latin PCS,1292,Washington Latin PCS - Anna Julia Cooper Middle School,157,157,157,0,0,0,0
151,Washington Latin PCS,125,Washington Latin PCS - Middle School,383,383,383,0,0,0,0
151,Washington Latin PCS,1118,Washington Latin PCS - Upper School,377,377,377,0,0,0,0
155,Achievement Preparatory Academy PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
155,Achievement Preparatory Academy PCS,217,Achievement Preparatory Academy PCS - Wahler Place Elementary School,226,228,228,0,0,0,0
156,Center City PCS,1103,Center City PCS - Brightwood,260,260,260,0,0,0,0
156,Center City PCS,1104,Center City PCS - Capitol Hill,249,249,249,0,0,0,0
156,Center City PCS,1105,Center City PCS - Congress Heights,249,249,249,0,0,0,0
156,Center City PCS,1106,Center City PCS - Petworth,244,244,244,0,0,0,0
156,Center City PCS,1107,Center City PCS - Shaw,217,217,217,0,0,0,0
156,Center City PCS,1108,Center City PCS - Trinidad,189,189,189,0,0,0,0
156,Center City PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
156,Center City PCS,1081,The Foundation School at PG County,1,1,0,0,0,1,0
160,Washington Yu Ying PCS,1079,Katherine Thomas School Rockville MD,1,1,0,0,0,1,0
160,Washington Yu Ying PCS,1078,Reginald S Lourie Center Rockville MD,1,1,0,0,0,1,0
160,Washington Yu Ying PCS,1117,Washington Yu Ying PCS,602,602,602,0,0,0,0
162,Carlos Rosario International PCS,1119,Carlos Rosario International PCS,2009,1984,1981,0,3,0,0
165,Inspired Teaching Demonstration PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,519,518,517,0,1,0,0
165,Inspired Teaching Demonstration PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
165,Inspired Teaching Demonstration PCS,1046,Lab School of Washington DC,2,2,0,0,0,2,0
165,Inspired Teaching Demonstration PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
166,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,263,262,262,0,0,0,0
167,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,301,300,300,0,0,0,0
168,BASIS DC PCS,3068,BASIS DC PCS,664,663,663,0,0,0,0
169,Creative Minds International PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
169,Creative Minds International PCS,3069,Creative Minds International PCS,587,587,587,0,0,0,0
169,Creative Minds International PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
170,DC Scholars PCS,1162,Alternative Paths Training School Alexandria VA,1,1,0,0,0,1,0
170,DC Scholars PCS,3070,DC Scholars PCS,532,532,529,0,3,0,0
171,Mundo Verde Bilingual PCS,1041,CARD Academy- Alexandria,1,1,0,0,0,1,0
171,Mundo Verde Bilingual PCS,1046,Lab School of Washington DC,1,1,0,0,0,1,0
171,Mundo Verde Bilingual PCS,1088,Mundo Verde Bilingual PCS - Calle Ocho,470,470,470,0,0,0,0
171,Mundo Verde Bilingual PCS,3065,Mundo Verde Bilingual PCS - J.F. Cook,539,537,537,0,0,0,0
172,LAYC Career Academy PCS,104,LAYC Career Academy PCS,117,115,111,0,4,0,0
173,Ingenuity Prep PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
173,Ingenuity Prep PCS,1200,High Road of Maryland Lower School Prince George's County,1,1,0,0,0,1,0
173,Ingenuity Prep PCS,200,Ingenuity Prep PCS,788,788,788,0,0,0,0
173,Ingenuity Prep PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
174,Sela PCS,197,Sela PCS,280,280,280,0,0,0,0
176,Community College Preparatory Academy PCS,216,Community College Preparatory Academy PCS,620,615,615,0,0,0,0
177,Lee Montessori PCS,228,Lee Montessori PCS - Brookland,286,286,286,0,0,0,0
177,Lee Montessori PCS,1141,Lee Montessori PCS - East End,193,193,192,0,1,0,0
178,Academy of Hope Adult PCS,233,Academy of Hope Adult PCS,656,652,652,0,0,0,0
180,Harmony DC PCS,245,Harmony DC PCS - School of Excellence,159,159,159,0,0,0,0
180,Harmony DC PCS,1078,Reginald S Lourie Center Rockville MD,1,1,0,0,0,1,0
181,District of Columbia International School,1050,Chelsea School,1,1,0,0,0,1,0
181,District of Columbia International School,248,District of Columbia International School,1590,1590,1590,0,0,0,0
181,District of Columbia International School,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
181,District of Columbia International School,1168,Kennedy Krieger Fairmont Campus Baltimore MD,1,1,0,0,0,1,0
181,District of Columbia International School,1056,Kennedy Krieger Greenspring Campus Baltimore MD,1,1,0,0,0,1,0
181,District of Columbia International School,1046,Lab School of Washington DC,4,4,0,0,0,4,0
184,Monument Academy PCS,260,Monument Academy PCS,123,123,123,0,0,0,0
185,Washington Global PCS,1092,HRMD High Road Academy of Howard County,1,1,0,0,0,1,0
185,Washington Global PCS,263,Washington Global PCS,240,240,240,0,0,0,0
186,Kingsman Academy PCS,267,Kingsman Academy PCS,317,315,314,0,1,0,0
188,The Children's Guild DC PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
188,The Children's Guild DC PCS,1020,Childrens Guild Prince Georges Chillum MD,3,3,0,0,0,3,0
188,The Children's Guild DC PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
188,The Children's Guild DC PCS,1168,Kennedy Krieger Fairmont Campus Baltimore MD,1,1,0,0,0,1,0
188,The Children's Guild DC PCS,255,The Children's Guild DC PCS,208,206,206,0,0,0,0
188,The Children's Guild DC PCS,1081,The Foundation School at PG County,3,3,0,0,0,3,0
189,Breakthrough Montessori PCS,289,Breakthrough Montessori PCS,347,346,346,0,0,0,0
189,Breakthrough Montessori PCS,1079,Katherine Thomas School Rockville MD,2,2,0,0,0,2,0
190,Goodwill Excel Center PCS,297,Goodwill Excel Center PCS,416,405,405,0,0,0,0
191,Rocketship Education DC PCS,1150,Rocketship PCS - Infinity Community Prep,306,306,306,0,0,0,0
191,Rocketship Education DC PCS,1016,Rocketship PCS - Legacy Prep,658,658,658,0,0,0,0
191,Rocketship Education DC PCS,286,Rocketship PCS - Rise Academy,533,529,529,0,0,0,0
194,Washington Leadership Academy PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
194,Washington Leadership Academy PCS,1215,Devereux Florida Viera Campus Viera FL,1,1,0,0,0,1,0
194,Washington Leadership Academy PCS,1066,Lt. Joseph P. Kennedy Institute,1,1,0,0,0,1,0
194,Washington Leadership Academy PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,2,2,0,0,0,2,0
194,Washington Leadership Academy PCS,1081,The Foundation School at PG County,1,1,0,0,0,1,0
194,Washington Leadership Academy PCS,283,Washington Leadership Academy PCS,379,377,377,0,0,0,0
303,The Family Place PCS,1036,The Family Place PCS,205,204,202,0,2,0,0
314,Statesmen College Preparatory Academy for Boys PCS,1037,Statesmen College Preparatory  Academy for Boys PCS,274,270,270,0,0,0,0
317,Digital Pioneers Academy PCS,1212,Digital Pioneers Academy PCS - Capitol Hill,201,201,199,0,2,0,0
317,Digital Pioneers Academy PCS,1038,Digital Pioneers Academy PCS - Johenning,311,310,306,0,4,0,0
317,Digital Pioneers Academy PCS,1082,Foundation School of Montgomery County Gaithersburg MD,1,1,0,0,0,1,0
317,Digital Pioneers Academy PCS,1012,Phillips School Annandale Annandale VA,1,1,0,0,0,1,0
323,The Sojourner Truth School PCS,1144,The Sojourner Truth School PCS,212,212,210,0,2,0,0
334,Capital Village PCS,1145,Capital Village PCS,108,108,108,0,0,0,0
334,Capital Village PCS,1051,Ivymount School Rockville MD,1,1,0,0,0,1,0
340,Girls Global Academy PCS,1049,Accotink Academy Therapeutic Day School,1,1,0,0,0,1,0
340,Girls Global Academy PCS,1146,Girls Global Academy PCS,162,163,163,0,0,0,0
340,Girls Global Academy PCS,1046,Lab School of Washington DC,1,1,0,0,0,1,0
340,Girls Global Academy PCS,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,2,2,0,0,0,2,0
340,Girls Global Academy PCS,1013,Phillips School Laurel Laurel MD,1,1,0,0,0,1,0
345,I Dream PCS,1147,I Dream PCS,86,86,86,0,0,0,0
350,Social Justice PCS,1184,Kennedy Krieger School: Powder Mill Campus,1,1,0,0,0,1,0
350,Social Justice PCS,1046,Lab School of Washington DC,1,1,0,0,0,1,0
350,Social Justice PCS,1148,Social Justice PCS,152,152,150,0,2,0,0
357,Global Citizens PCS,1160,Global Citizens PCS,110,110,110,0,0,0,0
358,LEARN DC PCS,1172,LEARN DC PCS,214,214,214,0,0,0,0
359,DC Wildflower PCS,1176,DC Wildflower PCS - The Riverseed School,18,16,16,0,0,0,0
4002,DYRS,1214,Maya Angelou Academy @ Youth Services Center,42,41,0,0,0,0,0
4002,DYRS,860,Maya Angelou Academy at New Beginnings formerly Oak Hill,35,35,0,0,0,0,0